Graduation Year;Student;Dissertation;Advisor;Committee Members
1977;John Edwin Hyde;Life Testing with Incomplete Observations;Miller;Miller, Brown, Efron
1977;Robert Edward Norland;Empty Confidence Sets in Nonparametric Problems;Switzer;Switzer, Solomon, Johns
1977;Andrew Francis Siegel;Random Space Filling and Moments of Coverage in Geometrical Probability;Solomon;Solomon, Efron, Diaconis
1977;Ronald Aaron Thisted;Ridge Regression, Minimax Estimation, and Empirical Bayes Methods;Efron;Efron, Stein, Johns
1976;Nira Herrmann;Joint Distribution of the Roots of Certain Matrices in Multivariate Analysis Under the Rank One Alternative with Power Studies of the Largest Root Test;Sitgreaves;Sitgreaves, Olkin, Stein
1976;Raul Pedro Mentz;Asymptotic Properties of Some Estimators in Moving Average Models;Anderson;Anderson, Efron, Olshen
1976;Terence John O'Neill;Efficiency Calculations in Discriminant Analysis;Efron;Efron, Miller, Mittal
1976;Arthur Vincent Peterson, Jr.;Nonparametric Estimation in the Competing Risks Problem;Efron;Efron, Miller, Brown
1976;James Chao-Ming Pong;Simultaneous Estimation of the Parameters of Independent Poisson Distributions;Stein;Stein, Efron, Diaconis
1976;Ted Howard Szatrowski;Test and Estimating of Multivariate Normal Mean and Covariance Structures which are Compound Symmetric in Blocks;Olkin;Olkin, Young, Sitgreaves
1976;Andre Tchen;Inequalities for Functionals of Distributions with Given Marginals;Cover;Cover, Stein, Resnick
1976;Margaret Nakamura Wesley;Bioassay: Estimating the Mean of the Tolerance Distribution;Brown;Brown, Miller, Efron
1975;David Berengut;Confidence Intervals Based on Rank Tests;Switzer;Switzer, Johns, Chernoff
1975;Joseph John Chmiel;Some Properties of Spearman Type Estimators of the Variance and Percentiles in Bioassay;Brown;Brown, Miller, Efron
1975;Marjorie Hrue Fuji Peterson;Statistical Methods for Establishing Comparable Scores in Successive Generations of a Testing Program;Moses;Moses, Olkin, Brown
1975;Farrokh Guiahi;Invariance Principle for Linear Combinations of Order Statistics;Miller;Miller, Johns, Resnick
1975;Robert B. Latta;Composition Rules for Probabilities from Paired Comparisons;Cover;Cover, Efron, Switzer
1975;Albert John Petkau;Sequential Medical Trials for Comparing an Experimental with a Standard Treatment;Chernoff;Chernoff, Solomon, Switzer
1975;Joan Marie Sander;Asymptotic Properties for Estimators Derived from the Kaplan-Meier Estimator;Miller;Miller, Efron, Brown
1974;Henry Isaiah Braun;Applications of Weak Convergence to Sequential Nonparametric Statistics;Chernoff;Chernoff, Gordon, Resnick
1974;Ronald Edward Glaser;Inferences for a Gamma Distributed Random Variable with Both Parameters Unknown, with Applications to Reliability;Lieberman;Lieberman, Olkin, Resnick
1974;Harold Malcolm Hudson;Empirical Bayes Estimation;Moses;Moses, Brown, Stein, Efron
1974;James Inglis;Admissible Decision Rules for the Compound Decision Problem;Johns;Johns, Solomon, Gordon
1974;Larry Randolph Muenz;A Method for the Selection of Variables for Classification of High-Dimensional Data;Switzer;Switzer, Suppes, Chernoff
1974;Vasan Thanyamanta;Tests for the Equality of Mean Vectors when Some Information Concerning the Covariance Matrices is Available;Olkin;Olkin, Crowther, Sitgreaves
1974;Jack Leon Tomsky;A New Class of Multivariate Tests Based on the Union-Intersection Principle;Olkin;Olkin, Crowther, Stein
1973;Nozomu Matsubara;Test Procedures for General Lehmann Alternatives;Chernoff;Chernoff, Switzer, Johns
1973;Richard Hugh Monahan;Truncated One-Sided Sequential Tests for the Mean of a Normal Distribution;Johns;Johns, Chernoff, Switzer
1973;Laurel Alison Beckett Smith;Statistical Procedures for Diagnosis Based on Binary Variables;Brown;Brown, Efron, Moses
1972;Peter Graham Bryant;Tests and Estimates for the Number of Components in a Mixture;Switzer;Switzer, Olkin, Solomon
1972;Louis Hsiao-Yun Chen;Poisson Approximation for Sums of Dependent Bernoulli Random Variables;Stein;Stein, Chernoff, Efron
1972;Jay Lewis Devore;Noisy Markov Chains;Switzer;Switzer, Hinkley, Cover
1972;Stuart William Dufour;Intersections of Random Convex Regions;Solomon;Solomon, Olkin, Efron
1972;Louis Gordon;Efficiency and Combinatorics in Subsampling;Efron;Efron, Olkin, Solomon
1972;Dai-Young Kim;Statistical Inference for Constants of Proportionality Between Covariance Matrices;Olkin;Olkin, Switzer, Efron
1972;Joseph Louis Lockett, III;Convergence in Total Variation of Predictive Distributions: Finite Horizon;Olshen;Olshen, Johns, Efron
1972;Ashim Kumar Mallik;Sequential Estimation of the Common Mean of Two Normal Populations;Chernoff;Chernoff, Johns, Miller
1972;Stanley Harvey Shapiro;A Compromise Between the Bayes and Minimax Approaches to Estimation;Efron;Efron, Miller, Haley
1972;Gary Albert Simon;Information Distances and Exponential Families, with Applications to Contingency Tables;Efron;Efron, Stein, Moses
1972;Owen Whitby;Estimation of Parameters in the Generalized Beta Distribution;Miller;Miller, Johns, Stein
1971;Steven Ferris Arnold;Products of Problems and Patterned Covariance Matrices that Arise from Interchangeable Random Variables;Olkin;Olkin, Stein, Strawderman
1971;Dale Gutzon Borglum;Some Estimators of Parameters from a Selected Population;Solomon;Solomon, Stein, Lieberman
1971;Edward Abe Brill;Stochastic Models of Vehicular Traffic Congestion;Solomon;Solomon, Wang, Johns
1971;Marshall Lawrence Clevenson;Asymptotically Efficient Estimates of the Parameters of a Moving Average Time Series;Parzen;Parzen, Hinkley, Olshen
1971;Peter John Cooke;Sequential Coverage in Geometrical Probability;Solomon;Solomon, Switzer, Johns
1971;James Cardon Reading;A Multiple Comparison Procedure for Classifying all Pairs out of k Means as Close or Distant;Woodworth;Woodworth, Miller, Sobel
1971;Warren Francis Rogers;Exact Null Distributions and Asymptotic Expansions for Rank Test Statistics;Woodworth;Woodworth, Switzer, Efron
1971;Allan Robert Sampson;An Asymptotically Efficient Stepwise Estimator for Exponential Families with Applications to Certain Multivariate Normal Distributions;Olkin;Olkin, Switzer, Johns
1971;Christopher Stroude Withers;Power and Efficiency of a Class of Goodness of Fit Tests;Woodworth;Woodworth, Chernoff, Hinkley
1970;Alan Enoch Gelfand;Seriation of Multivariate Observations Through Similarities;Solomon;Solomon, Olkin, Stein
1970;Perry Morton Gluckman;Applications of Diffusion Approximations to the Collective Theory of Risk;Siegmund;Siegmund, Johns, Miller
1970;Ralph Eugene Kromer;Asymptotic Properties of the Autoregressive Spectral Estimator;Parzen;Parzen, Anderson, Olshen
1970;Kathleen Rundle Lamborn;Problems from Biostatistics;Miller;Miller, Moses, Brown
1970;John Paul Lehoczky;Stochastic Models in Traffic Flow Theory: Intersection Control;Solomon;Solomon, Lieberman, Olshen
1970;Roberto Sanchez Mariano;On Distributions and Moments of Single-Equation Estimators in a Set of Simultaneous Linear Stochastic Equations;Anderson;Anderson, Olkin, Stein
1970;Richard William Shorrock;Caravans in Traffic Flow;Solomon;Solomon, Feldman, Switzer
1970;James Hutchinson Ware;Regression when Both Variables are Subject to Error and the Ranks of Their Means are Known;Efron;Efron, Switzer, Olkin
